Core_ID	Species	WTgroup	Freq	FP
B21	B	3	2	-999
B210	B	3	2	-999
B32	B	3	2	0.21
B42	B	3	2	0
B52	B	3	2	0.44
F13	F	3	2	0.56
F36	F	3	2	0.21
F41	F	3	2	0
F51	F	3	2	0
M11	M	3	2	0.12
M23	M	3	2	0.32
M25	M	3	2	0.17
M41	M	3	2	0.14
M52	M	3	2	0.54
B21	B	4	2	0.88
B210	B	4	2	0.72
B32	B	4	2	0.86
B42	B	4	2	-999
B52	B	4	2	0
F11	F	4	2	0.61
F13	F	4	2	0.71
F36	F	4	2	0.73
F41	F	4	2	1
F51	F	4	2	0.84
M11	M	4	2	0.58
M23	M	4	2	0.67
M25	M	4	2	0.31
M41	M	4	2	-999
M52	M	4	2	-999
B12	B	3	4	0.51
B13	B	3	4	0.41
B25	B	3	4	0.45
B33	B	3	4	0
B53	B	3	4	-999
F22	F	3	4	0.13
F23	F	3	4	0
F34	F	3	4	0
F46	F	3	4	0.05
F53	F	3	4	0
M24	M	3	4	0.64
M32	M	3	4	0.59
M34	M	3	4	0.31
M45	M	3	4	0.46
M54	M	3	4	0.52
B12	B	4	4	0.85
B13	B	4	4	0.9
B25	B	4	4	0.91
B33	B	4	4	0.36
B53	B	4	4	0.85
F22	F	4	4	0.22
F23	F	4	4	0.86
F34	F	4	4	-999
F46	F	4	4	0.5
F53	F	4	4	0.87
M24	M	4	4	0.23
M32	M	4	4	0.61
M34	M	4	4	0.83
M54	M	4	4	0.7
B11	B	3	6	0.9
B22	B	3	6	0.06
B31	B	3	6	0.35
B35	B	3	6	0.25
B44	B	3	6	0.38
F15	F	3	6	0.12
F21	F	3	6	0
F32	F	3	6	0
F37	F	3	6	0
F43	F	3	6	0
M26	M	3	6	0.35
M27	M	3	6	0.59
M31	M	3	6	0.56
M35	M	3	6	0.1
M42	M	3	6	0.19
B11	B	4	6	0.91
B22	B	4	6	0.95
B31	B	4	6	0.86
B35	B	4	6	1
B44	B	4	6	1
F15	F	4	6	0.8
F21	F	4	6	-999
F32	F	4	6	-999
F37	F	4	6	0.9
F43	F	4	6	0.85
M26	M	4	6	0.67
M27	M	4	6	0.77
M31	M	4	6	-999
M42	M	4	6	0.38
B14	B	3	8	0
B36	B	3	8	0.4
B41	B	3	8	0
B43	B	3	8	0
B51	B	3	8	0.08
F12	F	3	8	0
F14	F	3	8	0.37
F45	F	3	8	0
F52	F	3	8	0.39
F54	F	3	8	0.08
M13	M	3	8	0.63
M15	M	3	8	0.39
M43	M	3	8	0.53
M44	M	3	8	0.64
M46	M	3	8	0.56
B14	B	4	8	0.35
B36	B	4	8	0.82
B41	B	4	8	0.02
B43	B	4	8	0.77
B51	B	4	8	0.13
F12	F	4	8	0.96
F14	F	4	8	-999
F45	F	4	8	0.56
F52	F	4	8	0.37
F54	F	4	8	0.56
M13	M	4	8	0.47
M15	M	4	8	0.8
M43	M	4	8	0.62
M44	M	4	8	0.5
M46	M	4	8	0.54
