Core_ID	Species	Freq	WTgroup	NEE	R	NEP
B21	B	2	2	-0.571311114	-999	-999
B210	B	2	2	-1.057983545	-999	-999
B32	B	2	2	-1.311899596	-999	-999
B42	B	2	2	-0.867546507	-999	-999
B52	B	2	2	-0.69826914	-999	-999
B21	B	2	3	-0.830405531	0.861265697	-1.691671228
B210	B	2	3	-0.791544189	0.5432166	-1.334760789
B32	B	2	3	-1.018838993	1.014335802	-2.033174796
B42	B	2	3	-1.506487327	1.04861111	-2.555098436
B52	B	2	3	-1.167226329	0.921274709	-2.088501038
B21	B	2	4	-0.185645673	0.909039029	-1.094684702
B210	B	2	4	0.270283381	0.718941701	-0.44865832
B32	B	2	4	-0.68236568	0.801080865	-1.483446545
B42	B	2	4	0.377782454	0.697536565	-0.319754112
B52	B	2	4	-0.277040466	1.251571046	-1.528611512
B12	B	4	2	-0.365737992	-999	-999
B13	B	4	2	-1.320116754	-999	-999
B25	B	4	2	-0.559363987	-999	-999
B33	B	4	2	-1.097213975	-999	-999
B53	B	4	2	-0.689885245	-999	-999
B12	B	4	3	-0.134160032	0.865751456	-0.999911488
B13	B	4	3	-0.707063834	1.005135478	-1.712199312
B25	B	4	3	-0.904094761	1.501466314	-2.405561075
B33	B	4	3	-0.627513345	1.288560307	-1.916073652
B53	B	4	3	0.032262682	1.033454323	-1.001191641
B12	B	4	4	1.240690128	0	1.240690128
B13	B	4	4	0.284491432	0.488516831	-0.204025399
B25	B	4	4	0.955311952	0.672428316	0.282883636
B33	B	4	4	0.602261883	1.007419876	-0.405157994
B53	B	4	4	0.335364775	0.268320064	0.067044711
B11	B	6	2	-1.437417527	-999	-999
B22	B	6	2	-1.001390874	-999	-999
B31	B	6	2	-0.873553741	-999	-999
B35	B	6	2	-0.78997821	-999	-999
B44	B	6	2	-1.06530944	-999	-999
B11	B	6	3	-1.864442947	0.619777329	-2.484220275
B22	B	6	3	-1.264608245	0.881492392	-2.146100637
B31	B	6	3	-0.612551784	0.934594343	-1.547146127
B35	B	6	3	-0.918963497	1.002861415	-1.921824912
B44	B	6	3	-0.770664126	1.23129096	-2.001955086
B11	B	6	4	0.138174796	0.509499708	-0.371324912
B22	B	6	4	0.298038643	0.263848063	0.03419058
