Core_ID	Species	VWC	NEE
B11	B	0.642107757	-1.864442947
B11	B	0.478470377	0.138174796
B11	B	0.689708249	-0.184693644
B11	B	0.630407374	-1.024472557
B12	B	0.743124291	-0.365737992
B12	B	0.594521263	-0.134160032
B12	B	0.438418203	1.240690128
B12	B	0.61346743	-0.603176711
B12	B	0.635439434	-0.708708169
B13	B	0.650317778	-0.728079621
B14	B	0.79555486	-1.206656646
B14	B	0.70859638	-0.97700261
B14	B	0.537940471	0.47155824
B14	B	0.679184726	-0.338605014
B14	B	0.62533972	-0.389284027
B21	B	0.878962235	-0.60919893
B210	B	0.815354307	-0.623965013
B22	B	0.534246002	-0.71825306
B23	B	0.752679806	-0.427311773
B25	B	0.620236923	-0.124793003
B28	B	0.823229525	-0.815231296
B28	B	0.542529499	0.257712061
B28	B	0.798418252	-0.343821103
B28	B	0.866625384	-0.343821103
B31	B	0.545400358	-0.496392118
B32	B	0.704232208	-1.311899596
B32	B	0.591066882	-1.018838993
B32	B	0.472879959	-0.68236568
B32	B	0.632547354	-0.807454625
B32	B	0.8142669	-0.995942941
B33	B	0.689512768	-1.097213975
B33	B	0.672875251	-0.627513345
B33	B	0.351436448	0.602261883
B33	B	0.58958159	-0.212597
B33	B	0.752679806	-0.259298958
B35	B	0.604722435	-0.791544189
B36	B	0.556449322	-0.547712186
B37	B	0.494462587	0.540566763
B41	B	0.706391721	-0.125294683
B42	B	0.756637814	-0.395772094
B43	B	0.646894093	-0.532482951
B43	B	0.521346267	-0.545404049
B43	B	0.229128706	0.22935812
B43	B	0.476640908	-0.303425272
B43	B	0.441974373	-0.292320876
B44	B	0.770049166	-1.06530944
B44	B	0.702852971	-0.770664126
B44	B	0.589386185	0.76955685
B44	B	0.730572741	-0.395772094
B44	B	0.723803345	-0.711048169
B46	B	0.556449322	0.142804364
B51	B	0.732261961	-0.595507544
B52	B	0.836152842	-0.398619375
B53	B	0.8142669	-0.596702542
B54	B	0.500210362	0.267671948
F11	F	0.342440414	-0.587459301
F12	F	0.342440414	-1.27655901
F13	F	0.361679922	-0.535343896
F14	F	0.350068045	-0.558165067
F15	F	0.338661325	-0.44925481
F16	F	0.338661325	-0.412467195
F21	F	0.447014893	0.170094407
F21	F	0.385900322	-0.611016567
F21	F	0.266738904	-0.297753772
F21	F	0.369153384	0.118731628
F21	F	0.327465308	-0.674064394
F22	F	0.43102052	-0.699074073
F23	F	0.414204699	-0.456144109
F29	F	0.397681427	-1.351416907
F31	F	0.197076484	0.129761342
F31	F	0.300337456	-0.02625976
F31	F	0.331173585	-0.02625976
F32	F	0.331173585	-0.132873125
F33	F	0.389536194	-0.5130379
F34	F	0.305724478	-0.539939655
F36	F	0.397681427	-0.737810118
F37	F	0.373490774	-0.462903057
F41	F	0.334905652	-0.556865258
F42	F	0.28828905	-0.69087398
F43	F	0.410045591	-0.418446537
F45	F	0.42414599	-0.489884315
F45	F	0.365808075	-0.420820961
F45	F	0.324384601	-0.236667735
F45	F	0.382151082	-0.507907521
F45	F	0.353916168	-0.655964831
F46	F	0.327465308	-0.123740159
F51	F	0.435871067	-0.380874076
F51	F	0.376774663	-0.528341231
F51	F	0.32319726	-0.366671205
F51	F	0.394029683	-0.38025162
F51	F	0.410045591	-0.547240427
F52	F	0.361679922	-1.322388859
F53	F	0.316484919	-0.113366943
F54	F	0.346242723	-0.519847099
M11	M	0.962350199	-0.593658141
M12	M	0.942653081	-1.21406113
M12	M	0.938119495	-1.16939905
M12	M	0.939186438	-1.265788336
M12	M	0.69889342	-0.130679465
M12	M	0.923789148	-0.413680334
M12	M	0.94206324	-0.413680334
M13	M	0.938058461	-0.840674518
M15	M	0.938058461	-0.880083807
M22	M	0.951277889	0.718031445
M23	M	0.942664734	-1.206101241
M23	M	0.932629492	-1.319862598
M23	M	0.763074731	0
M23	M	0.948299414	-0.47284806
M23	M	0.957857449	-0.394890642
M24	M	0.935986255	-0.530220988
M25	M	0.959396257	-0.381700198
M26	M	0.935986255	-0.756128341
M27	M	0.964227734	-0.500891506
M27	M	0.961959483	-1.968115528
M27	M	0.770180744	-0.509649914
M27	M	0.965238528	-0.501311319
M27	M	0.943996514	-0.779176311
M30	M	0.954653535	-0.43226172
M31	M	0.943996514	-0.588631013
M32	M	0.94206324	-1.180828216
M34	M	0.868460433	-1.147650928
M35	M	0.938058461	-0.998344022
M41	M	0.959396257	-0.720972779
M42	M	0.924914844	-1.095848954
M43	M	0.942658208	-0.663605528
M43	M	0.873739893	-1.504292123
M43	M	0.561548031	-0.733714476
M43	M	0.912665788	-0.633235351
M43	M	0.94206324	-0.827360668
M44	M	0.938058461	-0.372700178
M45	M	0.945884209	-0.637791001
M46	M	0.9445405	-1.086265221
M46	M	0.940429001	-1.809498539
M46	M	0.595370095	-1.006290482
M46	M	0.935565007	-0.976237833
M46	M	0.956276712	-1.138179793
M51	M	0.931700606	-0.313394192
M52	M	0.943996514	-0.617136147
M54	M	0.960723016	-0.946615979
M54	M	0.942353423	-1.508824506
M54	M	0.932331763	-0.468425909
M54	M	0.962047053	-0.808877273
M54	M	0.93386707	-0.490337108
M56	M	0.943996514	-0.533270381
