Core	Species	VWC	PSII
B11	B	0.879624077	0.644545455
B11	B	0.628216208	0.590727273
B11	B	0.479500117	0.094727273
B11	B	0.499045393	0.370090909
B11	B	0.926918074	0.678818182
B11	B	0.518632503	0.5598
B11	B	0.454784986	0.099545455
B11	B	0.879624077	0.668
B11	B	0.514919502	0.498090909
B11	B	0.725502703	0.655909091
B11	B	0.655681981	0.666636364
B12	B	0.942021659	0.664181818
B12	B	0.944542989	0.671090909
B12	B	0.485948112	0.081181818
B12	B	0.587577045	0.641363636
B12	B	0.610686621	0.678
B12	B	0.958149247	0.668454546
B12	B	0.44321703	0.146272727
B12	B	0.788056412	0.655909091
B12	B	0.432606423	0.156
B12	B	0.465297688	0.478272727
B14	B	0.696947653	0.7091
B14	B	0.54510277	0.102090909
B14	B	0.791539565	0.682272727
B14	B	0.528879361	0.107636364
B14	B	0.926398686	0.687363636
B14	B	0.502998177	0.097909091
B14	B	0.883803876	0.695636364
B14	B	0.900405142	0.693090909
B28	B	0.545291103	0.166090909
B28	B	0.571891667	0.253090909
B28	B	0.94454836	0.674090909
B28	B	0.824233158	0.654363636
B28	B	0.528830526	0.133090909
B32	B	0.830742869	0.662090909
B32	B	0.480354576	0.591818182
B32	B	0.578882948	0.640545455
B32	B	0.467160636	0.523
B32	B	0.7013265	0.669727273
B32	B	0.480303287	0.589636364
B32	B	0.863442151	0.695
B32	B	0.475675546	0.432545455
B32	B	0.599629565	0.682090909
B32	B	0.839529281	0.676727273
B32	B	0.50090312	0.602090909
B32	B	0.502857492	0.555272727
B33	B	0.392933716	0.182909091
B33	B	0.956662478	0.705545455
B33	B	0.813746076	0.658909091
B33	B	0.345673427	0.132181818
B33	B	0.299713704	0.478363636
B33	B	0.953197925	0.668636364
B33	B	0.434479591	0.359181818
B33	B	0.639684386	0.686909091
B33	B	0.337910158	0.063636364
B33	B	0.95495835	0.678
B43	B	0.229239078	0.055272727
B43	B	0.641260891	0.680818182
B43	B	0.471778868	0.646909091
B43	B	0.232081729	0.114545455
B43	B	0.287263779	0.076454545
B43	B	0.185564504	0.059363636
B44	B	0.87573367	0.665727273
B44	B	0.961602483	0.662363636
B44	B	0.546995156	0.370363636
B44	B	0.689551283	0.638363636
B44	B	0.52337856	0.396818182
B44	B	0.760050727	0.668
B44	B	0.963381537	0.676454546
B44	B	0.580691385	0.263818182
F14	F	0.346310003	0.592727273
F14	F	0.431723176	0.586909091
F14	F	0.953667148	0.624636364
F14	F	0.268884386	0.496909091
F14	F	0.943464747	0.555272727
F14	F	0.395134513	0.581090909
F14	F	0.941191769	0.592454546
F14	F	0.239130225	0.239272727
F14	F	0.302173244	0.473818182
F14	F	0.387225797	0.570090909
F14	F	0.306658772	0.555090909
F21	F	0.326716629	0.626363636
F21	F	0.79457787	0.5674
F21	F	0.356895241	0.606818182
F21	F	0.892618344	0.6364
F21	F	0.80538835	0.613
F21	F	0.20190557	0.528727273
F21	F	0.214406442	0.545181818
F21	F	0.285209465	0.585090909
F21	F	0.253156707	0.590363636
F21	F	0.313644257	0.604363636
F31	F	0.221794985	0.587
F31	F	0.914563887	0.574181818
F31	F	0.904185821	0.624181818
F31	F	0.194945879	0.456545455
F31	F	0.908118262	0.609727273
F31	F	0.200976951	0.387454546
F31	F	0.370277869	0.550727273
F31	F	0.187814293	0.393727273
F45	F	0.384667277	0.483727273
F45	F	0.305565049	0.511272727
F45	F	0.380675589	0.565363636
F45	F	0.357549804	0.480818182
F45	F	0.4324139	0.472090909
F45	F	0.31852631	0.493090909
F45	F	0.336471011	0.469272727
F45	F	0.312009514	0.439272727
F51	F	0.856621204	0.597272727
F51	F	0.375440395	0.599272727
F51	F	0.318405997	0.494818182
F51	F	0.372877999	0.489818182
F51	F	0.866065758	0.652909091
F51	F	0.314883468	0.526636364
F51	F	0.340752816	0.492
F51	F	0.912699416	0.656727273
F51	F	0.345718308	0.481
F51	F	0.312521588	0.512
F51	F	0.424840998	0.623636364
F51	F	0.362635695	0.481636364
M12	M	0.822111693	0.582363636
M12	M	0.942661393	0.639818182
M12	M	0.844649514	0.663363636
M12	M	0.933011276	0.657909091
M12	M	0.700431005	0.506
M12	M	0.658419909	0.465272727
M12	M	0.894678182	0.624727273
M12	M	0.679340194	0.434181818
M12	M	0.833280299	0.580181818
M23	M	0.931222276	0.626090909
M23	M	0.774477805	0.451909091
M23	M	0.750887758	0.351636364
M23	M	0.805896481	0.553454546
M23	M	0.955947951	0.618181818
M23	M	0.811111828	0.5344
M23	M	0.771640338	0.340909091
M23	M	0.910827886	0.610181818
M23	M	0.924534416	0.602
M23	M	0.936130826	0.626181818
M27	M	0.773286878	0.393636364
M27	M	0.80321859	0.583181818
M27	M	0.959295917	0.614727273
M27	M	0.967276163	0.648
M27	M	0.799176048	0.51
M27	M	0.785643296	0.496636364
M27	M	0.962848955	0.636545455
M27	M	0.960480079	0.6621
M27	M	0.782888651	0.416545455
M43	M	0.919071407	0.647090909
M43	M	0.938779603	0.594545455
M43	M	0.60766492	0.540363636
M43	M	0.576464272	0.420454546
M43	M	0.546799561	0.509363636
M43	M	0.922999338	0.634636364
M43	M	0.624109435	0.525363636
M43	M	0.46695948	0.450363636
M43	M	0.894277432	0.558
M46	M	0.624125125	0.610545455
M46	M	0.59215686	0.529181818
M46	M	0.588037454	0.634
M46	M	0.575903589	0.511454546
M46	M	0.939795916	0.629727273
M46	M	0.762948551	0.619272727
M54	M	0.949905395	0.609181818
M54	M	0.967058878	0.641636364
M54	M	0.943637316	0.577909091
M54	M	0.94756551	0.666363636
M54	M	0.930187458	0.545636364
M54	M	0.873993153	0.459363636
M54	M	0.937131679	0.567272727
