Core_ID	Irg	Species	NEE_Wet	NEE_REWET
B37	10	B	-3.59030985	-0.979768631
B46	10	B	-5.385464775	-1.469652946
B54	10	B	-3.448578499	-0.941091208
B23	10	B	-1.565861183	-0.427311773
B28	10	B	-1.259914081	-0.343821103
B37	10	B	1.980878049	0.540566763
B46	10	B	0.523298969	0.142804364
B54	10	B	0.980869565	0.267671948
B21	2	B	-2.093539084	-0.571311114
B210	2	B	-3.876924229	-1.057983545
B32	2	B	-4.807386044	-1.311899596
B42	2	B	-3.179077868	-0.867546507
B52	2	B	-2.558769991	-0.69826914
B21	2	B	-2.68265285	-0.732075843
B210	2	B	-1.60647033	-0.438393705
B32	2	B	-2.958874372	-0.807454625
B42	2	B	-1.661236364	-0.453338944
B52	2	B	-2.7072	-0.738774576
B12	4	B	-1.340227349	-0.365737992
B13	4	B	-4.83749738	-1.320116754
B25	4	B	-2.049759474	-0.559363987
B33	4	B	-4.020682046	-1.097213975
B53	4	B	-2.528047657	-0.689885245
B12	4	B	-2.210308861	-0.603176711
B13	4	B	-2.7072	-0.738774576
B25	4	B	2.110115473	0.575834687
B33	4	B	-0.77905036	-0.212597
B53	4	B	-3.111522078	-0.849111039
B11	6	B	-5.267339801	-1.437417527
B22	6	B	-3.669543406	-1.001390874
B31	6	B	-3.201091056	-0.873553741
B35	6	B	-2.894832983	-0.78997821
B44	6	B	-3.903769581	-1.06530944
B11	6	B	-0.6768	-0.184693644
B22	6	B	-1.256914286	-0.343002482
B31	6	B	-1.3536	-0.369387288
B35	6	B	-1.063542857	-0.290232869
B44	6	B	-1.450285714	-0.395772094
B14	8	B	-4.42172887	-1.206656646
B36	8	B	-3.206739487	-0.875095155
B41	8	B	-4.467476692	-1.219140883
B43	8	B	-1.951255353	-0.532482951
B51	8	B	-3.512259636	-0.958469313
B14	8	B	-1.2408	-0.338605014
B36	8	B	-2.223771429	-0.606850545
B41	8	B	-0.6768	-0.184693644
B43	8	B	-1.111885714	-0.303425272
B51	8	B	-2.1432	-0.584863206
F16	10	F	-1.951255353	-0.532482951
F29	10	F	-4.370811992	-1.192761812
F33	10	F	-1.78770615	-0.487851601
F42	10	F	-1.795154925	-0.489884315
F16	10	F	-1.51146402	-0.412467195
F29	10	F	-4.952195122	-1.351416907
F31	10	F	-0.096227488	-0.02625976
F33	10	F	-1.88	-0.5130379
F42	10	F	-2.531670823	-0.69087398
F11	2	F	-2.115576337	-0.577324916
F13	2	F	-2.791385445	-0.761748153
F36	2	F	-2.862959431	-0.781280157
F41	2	F	-1.787108288	-0.487688448
F51	2	F	-1.395692722	-0.380874076
F11	2	F	-0.951007026	-0.259522685
F13	2	F	-2.596419437	-0.708543391
F36	2	F	-1.679278195	-0.458262425
F41	2	F	-1.577009709	-0.430354122
F51	2	F	-1.393411765	-0.38025162
F22	4	F	-3.100476516	-0.846096788
F23	4	F	-2.141983776	-0.584531308
F34	4	F	-3.389986823	-0.925101979
F46	4	F	-1.340227349	-0.365737992
F53	4	F	-1.340227349	-0.365737992
F22	4	F	-3.082293976	-0.841134909
F23	4	F	-1.950384236	-0.53224523
F34	4	F	-2.118229008	-0.57804881
F46	4	F	-1.933714286	-0.527696126
F53	4	F	-0.564	-0.15391137
F15	6	F	-1.480341957	-0.403974218
F21	6	F	0.623301876	0.170094407
F32	6	F	-2.42033714	-0.660491853
F37	6	F	-1.480341957	-0.403974218
F43	6	F	-2.226992331	-0.607729505
F15	6	F	-2.658857143	-0.725582173
F21	6	F	0.435085714	0.118731628
F32	6	F	0	0
F37	6	F	-1.450285714	-0.395772094
F43	6	F	-1.3536	-0.369387288
F12	8	F	-3.754071649	-1.024457997
F14	8	F	-1.561004283	-0.425986361
F45	8	F	-1.795154925	-0.489884315
F52	8	F	-2.346394746	-0.640313528
F54	8	F	-1.561004283	-0.425986361
F12	8	F	-2.513828571	-0.686004963
F14	8	F	-1.208571429	-0.329810079
F45	8	F	-1.8612	-0.507907521
F52	8	F	-1.692	-0.46173411
F54	8	F	-1.256914286	-0.343002482
M12	10	M	-4.448862206	-1.21406113
M12	10	M	-4.2852004	-1.16939905
M22	10	M	-4.214711563	-1.150163175
M30	10	M	-2.809807709	-0.76677545
M51	10	M	-3.597805278	-0.981814077
M56	10	M	-2.029305568	-0.55378227
M12	10	M	-1.515909502	-0.413680334
M22	10	M	2.631187905	0.718031445
M30	10	M	-1.584	-0.43226172
M51	10	M	-1.14841629	-0.313394192
M56	10	M	-1.954140845	-0.533270381
M11	2	M	-3.024000899	-0.825227165
M23	2	M	-4.419693621	-1.206101241
M25	2	M	-1.888463726	-0.515347587
M41	2	M	-5.58277089	-1.523496305
M52	2	M	-4.419693621	-1.206101241
M11	2	M	-1.89504	-0.517142203
M23	2	M	-1.732726477	-0.47284806
M25	2	M	-0.585259424	-0.159712907
M41	2	M	-1.012897959	-0.276412256
M52	2	M	-0.819443946	-0.223620107
M24	4	M	-4.567103338	-1.246328248
M32	4	M	-4.37838006	-1.194827081
M34	4	M	-4.887887977	-1.33386797
M45	4	M	-4.187078933	-1.142622438
M54	4	M	-3.468823726	-0.946615979
M24	4	M	-2.278009756	-0.621651777
M32	4	M	-4.350857143	-1.187316283
M34	4	M	-3.090772834	-0.843448726
M45	4	M	-2.440384615	-0.665962659
M54	4	M	-2.964087591	-0.808877273
M26	6	M	-3.661898524	-0.999304643
M27	6	M	-1.835490188	-0.500891506
M31	6	M	-1.561507832	-0.426123776
M35	6	M	-5.609716888	-1.530849666
M42	6	M	-3.513392623	-0.958778496
M26	6	M	-1.643657143	-0.448541707
M27	6	M	-1.837028571	-0.501311319
M31	6	M	-1.450285714	-0.395772094
M35	6	M	-1.933714286	-0.527696126
M42	6	M	-2.900571429	-0.791544189
M13	8	M	-4.52691242	-1.235360448
M15	8	M	-3.441378962	-0.939126508
M43	8	M	-2.431747037	-0.663605528
M44	8	M	-2.783477516	-0.759590138
M46	8	M	-3.980560921	-1.086265221
M13	8	M	-2.078742857	-0.567273335
M15	8	M	-3.0456	-0.831121398
M43	8	M	-2.320457143	-0.633235351
M44	8	M	-1.0998	-0.300127172
M46	8	M	-3.577371429	-0.976237833
